course_name,letter_grade,description,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,IP,NP,NR,P,S,U
Environmental Engineering 020,B-,Number of Records,,,,,,43,,,,,,,,,,,,,,
Environmental Engineering 020,B+,% of Total Number of Records along Grade Code Final,,,,12%,,,,,,,,,,,,,,,,
Environmental Engineering 020,B+,Number of Records,,,,46,,,,,,,,,,,,,,,,
Environmental Engineering 020,C,% of Total Number of Records along Grade Code Final,,,,,,,,10%,,,,,,,,,,,,
Environmental Engineering 020,C,Number of Records,,,,,,,,39,,,,,,,,,,,,
Environmental Engineering 020,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,7%,,,,,,,,,,,
Environmental Engineering 020,C-,Number of Records,,,,,,,,,27,,,,,,,,,,,
Environmental Engineering 020,C+,% of Total Number of Records along Grade Code Final,,,,,,,9%,,,,,,,,,,,,,
Environmental Engineering 020,C+,Number of Records,,,,,,,36,,,,,,,,,,,,,
Environmental Engineering 020,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,3%,,,,,,,,,
Environmental Engineering 020,D,Number of Records,,,,,,,,,,,13,,,,,,,,,
Environmental Engineering 020,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,2%,,,,,,,,
Environmental Engineering 020,D-,Number of Records,,,,,,,,,,,,7,,,,,,,,
Environmental Engineering 020,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,3%,,,,,,,,,,
Environmental Engineering 020,D+,Number of Records,,,,,,,,,,13,,,,,,,,,,
Environmental Engineering 020,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,6%,,,,,,,
Environmental Engineering 020,F,Number of Records,,,,,,,,,,,,,22,,,,,,,
Environmental Engineering 020,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
﻿Environmental Engineering 020,P,Number of Records,,,,,,,,,,,,,,,,,,2,,
Environmental Engineering 020,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,4%,,,,,,
Environmental Engineering 020,W,Number of Records,,,,,,,,,,,,,,14,,,,,,
Environmental Engineering 030,A,% of Total Number of Records along Grade Code Final,,18%,,,,,,,,,,,,,,,,,,
Environmental Engineering 030,A,Number of Records,,24,,,,,,,,,,,,,,,,,,
Environmental Engineering 030,A-,% of Total Number of Records along Grade Code Final,,,16%,,,,,,,,,,,,,,,,,
Environmental Engineering 030,A-,Number of Records,,,21,,,,,,,,,,,,,,,,,
Environmental Engineering 030,A+,% of Total Number of Records along Grade Code Final,4%,,,,,,,,,,,,,,,,,,,
Environmental Engineering 030,A+,Number of Records,5,,,,,,,,,,,,,,,,,,,
Environmental Engineering 030,B,% of Total Number of Records along Grade Code Final,,,,,10%,,,,,,,,,,,,,,,
Environmental Engineering 030,B,Number of Records,,,,,13,,,,,,,,,,,,,,,
Environmental Engineering 030,B-,% of Total Number of Records along Grade Code Final,,,,,,8%,,,,,,,,,,,,,,
Environmental Engineering 030,B-,Number of Records,,,,,,11,,,,,,,,,,,,,,
Environmental Engineering 030,B+,% of Total Number of Records along Grade Code Final,,,,14%,,,,,,,,,,,,,,,,
Environmental Engineering 030,B+,Number of Records,,,,19,,,,,,,,,,,,,,,,
Environmental Engineering 030,C,% of Total Number of Records along Grade Code Final,,,,,,,,6%,,,,,,,,,,,,
Environmental Engineering 030,C,Number of Records,,,,,,,,8,,,,,,,,,,,,
Environmental Engineering 030,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,5%,,,,,,,,,,,
Environmental Engineering 030,C-,Number of Records,,,,,,,,,7,,,,,,,,,,,
Environmental Engineering 030,C+,% of Total Number of Records along Grade Code Final,,,,,,,7%,,,,,,,,,,,,,
Environmental Engineering 030,C+,Number of Records,,,,,,,9,,,,,,,,,,,,,
Environmental Engineering 030,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,1%,,,,,,,,,
Environmental Engineering 030,D,Number of Records,,,,,,,,,,,1,,,,,,,,,
Environmental Engineering 030,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,4%,,,,,,,,
Environmental Engineering 030,D-,Number of Records,,,,,,,,,,,,5,,,,,,,,
Environmental Engineering 030,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,2%,,,,,,,
Environmental Engineering 030,F,Number of Records,,,,,,,,,,,,,2,,,,,,,
Environmental Engineering 030,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,2%,,
Environmental Engineering 030,P,Number of Records,,,,,,,,,,,,,,,,,,2,,
Environmental Engineering 030,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,5%,,,,,,
Environmental Engineering 030,W,Number of Records,,,,,,,,,,,,,,6,,,,,,
Environmental Engineering 090X,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,8%,,,,
Environmental Engineering 090X,NP,Number of Records,,,,,,,,,,,,,,,,2,,,,
Environmental Engineering 090X,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,92%,,
Environmental Engineering 090X,P,Number of Records,,,,,,,,,,,,,,,,,,22,,
Environmental Engineering 098,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,100%,,
Environmental Engineering 098,P,Number of Records,,,,,,,,,,,,,,,,,,1,,
Environmental Engineering 100,A,% of Total Number of Records along Grade Code Final,,10%,,,,,,,,,,,,,,,,,,
Environmental Engineering 100,A,Number of Records,,34,,,,,,,,,,,,,,,,,,
Environmental Engineering 100,A-,% of Total Number of Records along Grade Code Final,,,9%,,,,,,,,,,,,,,,,,
Environmental Engineering 100,A-,Number of Records,,,31,,,,,,,,,,,,,,,,,
Environmental Engineering 100,A+,% of Total Number of Records along Grade Code Final,3%,,,,,,,,,,,,,,,,,,,
Environmental Engineering 100,A+,Number of Records,11,,,,,,,,,,,,,,,,,,,
Environmental Engineering 100,B,% of Total Number of Records along Grade Code Final,,,,,14%,,,,,,,,,,,,,,,
Environmental Engineering 100,B,Number of Records,,,,,47,,,,,,,,,,,,,,,
Environmental Engineering 100,B-,% of Total Number of Records along Grade Code Final,,,,,,10%,,,,,,,,,,,,,,
Environmental Engineering 100,B-,Number of Records,,,,,,32,,,,,,,,,,,,,,
Environmental Engineering 100,B+,% of Total Number of Records along Grade Code Final,,,,16%,,,,,,,,,,,,,,,,
Environmental Engineering 100,B+,Number of Records,,,,52,,,,,,,,,,,,,,,,
Environmental Engineering 100,C,% of Total Number of Records along Grade Code Final,,,,,,,,10%,,,,,,,,,,,,
﻿Environmental Engineering 100,C,Number of Records,,,,,,,,32,,,,,,,,,,,,
Environmental Engineering 100,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,7%,,,,,,,,,,,
Environmental Engineering 100,C-,Number of Records,,,,,,,,,22,,,,,,,,,,,
Environmental Engineering 100,C+,% of Total Number of Records along Grade Code Final,,,,,,,10%,,,,,,,,,,,,,
Environmental Engineering 100,C+,Number of Records,,,,,,,34,,,,,,,,,,,,,
Environmental Engineering 100,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,2%,,,,,,,,,
Environmental Engineering 100,D,Number of Records,,,,,,,,,,,5,,,,,,,,,
Environmental Engineering 100,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,0%,,,,,,,,
Environmental Engineering 100,D-,Number of Records,,,,,,,,,,,,1,,,,,,,,
Environmental Engineering 100,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,1%,,,,,,,,,,
Environmental Engineering 100,D+,Number of Records,,,,,,,,,,4,,,,,,,,,,
Environmental Engineering 100,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,5%,,,,,,,
Environmental Engineering 100,F,Number of Records,,,,,,,,,,,,,15,,,,,,,
Environmental Engineering 100,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,1%,,,,
Environmental Engineering 100,NP,Number of Records,,,,,,,,,,,,,,,,2,,,,
Environmental Engineering 100,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
Environmental Engineering 100,P,Number of Records,,,,,,,,,,,,,,,,,,3,,
Environmental Engineering 100,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
Environmental Engineering 100,W,Number of Records,,,,,,,,,,,,,,8,,,,,,
Environmental Engineering 105,A,% of Total Number of Records along Grade Code Final,,21%,,,,,,,,,,,,,,,,,,
Environmental Engineering 105,A,Number of Records,,5,,,,,,,,,,,,,,,,,,
Environmental Engineering 105,A-,% of Total Number of Records along Grade Code Final,,,8%,,,,,,,,,,,,,,,,,
Environmental Engineering 105,A-,Number of Records,,,2,,,,,,,,,,,,,,,,,
Environmental Engineering 105,A+,% of Total Number of Records along Grade Code Final,4%,,,,,,,,,,,,,,,,,,,
Environmental Engineering 105,A+,Number of Records,1,,,,,,,,,,,,,,,,,,,
Environmental Engineering 105,B,% of Total Number of Records along Grade Code Final,,,,,13%,,,,,,,,,,,,,,,
Environmental Engineering 105,B,Number of Records,,,,,3,,,,,,,,,,,,,,,
Environmental Engineering 105,B-,% of Total Number of Records along Grade Code Final,,,,,,13%,,,,,,,,,,,,,,
Environmental Engineering 105,B-,Number of Records,,,,,,3,,,,,,,,,,,,,,
Environmental Engineering 105,B+,% of Total Number of Records along Grade Code Final,,,,29%,,,,,,,,,,,,,,,,
Environmental Engineering 105,B+,Number of Records,,,,7,,,,,,,,,,,,,,,,
Environmental Engineering 105,C,% of Total Number of Records along Grade Code Final,,,,,,,,8%,,,,,,,,,,,,
Environmental Engineering 105,C,Number of Records,,,,,,,,2,,,,,,,,,,,,
Environmental Engineering 105,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,4%,,,,,,
Environmental Engineering 105,W,Number of Records,,,,,,,,,,,,,,1,,,,,,
Environmental Engineering 110,A,% of Total Number of Records along Grade Code Final,,16%,,,,,,,,,,,,,,,,,,
Environmental Engineering 110,A,Number of Records,,55,,,,,,,,,,,,,,,,,,
Environmental Engineering 110,A-,% of Total Number of Records along Grade Code Final,,,10%,,,,,,,,,,,,,,,,,
Environmental Engineering 110,A-,Number of Records,,,32,,,,,,,,,,,,,,,,,
Environmental Engineering 110,A+,% of Total Number of Records along Grade Code Final,2%,,,,,,,,,,,,,,,,,,,
Environmental Engineering 110,A+,Number of Records,8,,,,,,,,,,,,,,,,,,,
Environmental Engineering 110,B,% of Total Number of Records along Grade Code Final,,,,,19%,,,,,,,,,,,,,,,
Environmental Engineering 110,B,Number of Records,,,,,65,,,,,,,,,,,,,,,
Environmental Engineering 110,B-,% of Total Number of Records along Grade Code Final,,,,,,9%,,,,,,,,,,,,,,
Environmental Engineering 110,B-,Number of Records,,,,,,31,,,,,,,,,,,,,,
Environmental Engineering 110,B+,% of Total Number of Records along Grade Code Final,,,,11%,,,,,,,,,,,,,,,,
Environmental Engineering 110,B+,Number of Records,,,,37,,,,,,,,,,,,,,,,
Environmental Engineering 110,C,% of Total Number of Records along Grade Code Final,,,,,,,,13%,,,,,,,,,,,,
Environmental Engineering 110,C,Number of Records,,,,,,,,43,,,,,,,,,,,,
Environmental Engineering 110,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,4%,,,,,,,,,,,
﻿Environmental Engineering 110,C-,Number of Records,,,,,,,,,14,,,,,,,,,,,
Environmental Engineering 110,C+,% of Total Number of Records along Grade Code Final,,,,,,,9%,,,,,,,,,,,,,
Environmental Engineering 110,C+,Number of Records,,,,,,,29,,,,,,,,,,,,,
Environmental Engineering 110,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,1%,,,,,,,,,
Environmental Engineering 110,D,Number of Records,,,,,,,,,,,2,,,,,,,,,
Environmental Engineering 110,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
Environmental Engineering 110,D-,Number of Records,,,,,,,,,,,,3,,,,,,,,
Environmental Engineering 110,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,1%,,,,,,,,,,
Environmental Engineering 110,D+,Number of Records,,,,,,,,,,5,,,,,,,,,,
Environmental Engineering 110,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,1%,,,,,,,
Environmental Engineering 110,F,Number of Records,,,,,,,,,,,,,5,,,,,,,
Environmental Engineering 110,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,0%,,
Environmental Engineering 110,P,Number of Records,,,,,,,,,,,,,,,,,,1,,
Environmental Engineering 110,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
Environmental Engineering 110,W,Number of Records,,,,,,,,,,,,,,4,,,,,,
Environmental Engineering 112,A,% of Total Number of Records along Grade Code Final,,25%,,,,,,,,,,,,,,,,,,
Environmental Engineering 112,A,Number of Records,,3,,,,,,,,,,,,,,,,,,
Environmental Engineering 112,A-,% of Total Number of Records along Grade Code Final,,,33%,,,,,,,,,,,,,,,,,
Environmental Engineering 112,A-,Number of Records,,,4,,,,,,,,,,,,,,,,,
Environmental Engineering 112,B-,% of Total Number of Records along Grade Code Final,,,,,,17%,,,,,,,,,,,,,,
Environmental Engineering 112,B-,Number of Records,,,,,,2,,,,,,,,,,,,,,
Environmental Engineering 112,B+,% of Total Number of Records along Grade Code Final,,,,8%,,,,,,,,,,,,,,,,
Environmental Engineering 112,B+,Number of Records,,,,1,,,,,,,,,,,,,,,,
Environmental Engineering 112,C,% of Total Number of Records along Grade Code Final,,,,,,,,8%,,,,,,,,,,,,
Environmental Engineering 112,C,Number of Records,,,,,,,,1,,,,,,,,,,,,
Environmental Engineering 112,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,8%,,,,,,,,,,,
Environmental Engineering 112,C-,Number of Records,,,,,,,,,1,,,,,,,,,,,
Environmental Engineering 114,A,% of Total Number of Records along Grade Code Final,,15%,,,,,,,,,,,,,,,,,,
Environmental Engineering 114,A,Number of Records,,4,,,,,,,,,,,,,,,,,,
Environmental Engineering 114,A-,% of Total Number of Records along Grade Code Final,,,27%,,,,,,,,,,,,,,,,,
Environmental Engineering 114,A-,Number of Records,,,7,,,,,,,,,,,,,,,,,
Environmental Engineering 114,B,% of Total Number of Records along Grade Code Final,,,,,31%,,,,,,,,,,,,,,,
Environmental Engineering 114,B,Number of Records,,,,,8,,,,,,,,,,,,,,,
Environmental Engineering 114,B-,% of Total Number of Records along Grade Code Final,,,,,,4%,,,,,,,,,,,,,,
Environmental Engineering 114,B-,Number of Records,,,,,,1,,,,,,,,,,,,,,
Environmental Engineering 114,B+,% of Total Number of Records along Grade Code Final,,,,15%,,,,,,,,,,,,,,,,
Environmental Engineering 114,B+,Number of Records,,,,4,,,,,,,,,,,,,,,,
Environmental Engineering 114,C,% of Total Number of Records along Grade Code Final,,,,,,,,4%,,,,,,,,,,,,
Environmental Engineering 114,C,Number of Records,,,,,,,,1,,,,,,,,,,,,
Environmental Engineering 114,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,4%,,,,,,,,,
Environmental Engineering 114,D,Number of Records,,,,,,,,,,,1,,,,,,,,,
Environmental Engineering 116,A,% of Total Number of Records along Grade Code Final,,36%,,,,,,,,,,,,,,,,,,
Environmental Engineering 116,A,Number of Records,,14,,,,,,,,,,,,,,,,,,
Environmental Engineering 116,A-,% of Total Number of Records along Grade Code Final,,,15%,,,,,,,,,,,,,,,,,
Environmental Engineering 116,A-,Number of Records,,,6,,,,,,,,,,,,,,,,,
Environmental Engineering 116,B,% of Total Number of Records along Grade Code Final,,,,,13%,,,,,,,,,,,,,,,
Environmental Engineering 116,B,Number of Records,,,,,5,,,,,,,,,,,,,,,
Environmental Engineering 116,B-,% of Total Number of Records along Grade Code Final,,,,,,8%,,,,,,,,,,,,,,
Environmental Engineering 116,B-,Number of Records,,,,,,3,,,,,,,,,,,,,,
Environmental Engineering 116,B+,% of Total Number of Records along Grade Code Final,,,,10%,,,,,,,,,,,,,,,,
﻿Environmental Engineering 116,B+,Number of Records,,,,4,,,,,,,,,,,,,,,,
Environmental Engineering 116,C,% of Total Number of Records along Grade Code Final,,,,,,,,3%,,,,,,,,,,,,
Environmental Engineering 116,C,Number of Records,,,,,,,,1,,,,,,,,,,,,
Environmental Engineering 116,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,3%,,,,,,,,,,,
Environmental Engineering 116,C-,Number of Records,,,,,,,,,1,,,,,,,,,,,
Environmental Engineering 116,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,3%,,,,,,,,
Environmental Engineering 116,D-,Number of Records,,,,,,,,,,,,1,,,,,,,,
Environmental Engineering 116,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,5%,,,,,,,
Environmental Engineering 116,F,Number of Records,,,,,,,,,,,,,2,,,,,,,
Environmental Engineering 116,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,3%,,
Environmental Engineering 116,P,Number of Records,,,,,,,,,,,,,,,,,,1,,
Environmental Engineering 116,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,3%,,,,,,
Environmental Engineering 116,W,Number of Records,,,,,,,,,,,,,,1,,,,,,
Environmental Engineering 118,A,% of Total Number of Records along Grade Code Final,,25%,,,,,,,,,,,,,,,,,,
Environmental Engineering 118,A,Number of Records,,7,,,,,,,,,,,,,,,,,,
Environmental Engineering 118,A-,% of Total Number of Records along Grade Code Final,,,4%,,,,,,,,,,,,,,,,,
Environmental Engineering 118,A-,Number of Records,,,1,,,,,,,,,,,,,,,,,
Environmental Engineering 118,B,% of Total Number of Records along Grade Code Final,,,,,21%,,,,,,,,,,,,,,,
Environmental Engineering 118,B,Number of Records,,,,,6,,,,,,,,,,,,,,,
Environmental Engineering 118,B-,% of Total Number of Records along Grade Code Final,,,,,,7%,,,,,,,,,,,,,,
Environmental Engineering 118,B-,Number of Records,,,,,,2,,,,,,,,,,,,,,
Environmental Engineering 118,B+,% of Total Number of Records along Grade Code Final,,,,18%,,,,,,,,,,,,,,,,
Environmental Engineering 118,B+,Number of Records,,,,5,,,,,,,,,,,,,,,,
Environmental Engineering 118,C,% of Total Number of Records along Grade Code Final,,,,,,,,11%,,,,,,,,,,,,
Environmental Engineering 118,C,Number of Records,,,,,,,,3,,,,,,,,,,,,
Environmental Engineering 118,C+,% of Total Number of Records along Grade Code Final,,,,,,,7%,,,,,,,,,,,,,
Environmental Engineering 118,C+,Number of Records,,,,,,,2,,,,,,,,,,,,,
Environmental Engineering 118,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,4%,,,,,,,,,
Environmental Engineering 118,D,Number of Records,,,,,,,,,,,1,,,,,,,,,
Environmental Engineering 118,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,4%,,
Environmental Engineering 118,P,Number of Records,,,,,,,,,,,,,,,,,,1,,
Environmental Engineering 130,A,% of Total Number of Records along Grade Code Final,,9%,,,,,,,,,,,,,,,,,,
Environmental Engineering 130,A,Number of Records,,36,,,,,,,,,,,,,,,,,,
Environmental Engineering 130,A-,% of Total Number of Records along Grade Code Final,,,13%,,,,,,,,,,,,,,,,,
Environmental Engineering 130,A-,Number of Records,,,50,,,,,,,,,,,,,,,,,
Environmental Engineering 130,A+,% of Total Number of Records along Grade Code Final,1%,,,,,,,,,,,,,,,,,,,
Environmental Engineering 130,A+,Number of Records,3,,,,,,,,,,,,,,,,,,,
Environmental Engineering 130,B,% of Total Number of Records along Grade Code Final,,,,,18%,,,,,,,,,,,,,,,
Environmental Engineering 130,B,Number of Records,,,,,67,,,,,,,,,,,,,,,
Environmental Engineering 130,B-,% of Total Number of Records along Grade Code Final,,,,,,12%,,,,,,,,,,,,,,
Environmental Engineering 130,B-,Number of Records,,,,,,46,,,,,,,,,,,,,,
Environmental Engineering 130,B+,% of Total Number of Records along Grade Code Final,,,,11%,,,,,,,,,,,,,,,,
Environmental Engineering 130,B+,Number of Records,,,,41,,,,,,,,,,,,,,,,
Environmental Engineering 130,C,% of Total Number of Records along Grade Code Final,,,,,,,,8%,,,,,,,,,,,,
Environmental Engineering 130,C,Number of Records,,,,,,,,32,,,,,,,,,,,,
Environmental Engineering 130,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,6%,,,,,,,,,,,
Environmental Engineering 130,C-,Number of Records,,,,,,,,,21,,,,,,,,,,,
Environmental Engineering 130,C+,% of Total Number of Records along Grade Code Final,,,,,,,8%,,,,,,,,,,,,,
Environmental Engineering 130,C+,Number of Records,,,,,,,31,,,,,,,,,,,,,
Environmental Engineering 130,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,3%,,,,,,,,,
﻿Environmental Engineering 130,D,Number of Records,,,,,,,,,,,11,,,,,,,,,
Environmental Engineering 130,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,2%,,,,,,,,
Environmental Engineering 130,D-,Number of Records,,,,,,,,,,,,6,,,,,,,,
Environmental Engineering 130,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,2%,,,,,,,,,,
Environmental Engineering 130,D+,Number of Records,,,,,,,,,,9,,,,,,,,,,
Environmental Engineering 130,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,3%,,,,,,,
Environmental Engineering 130,F,Number of Records,,,,,,,,,,,,,12,,,,,,,
Environmental Engineering 130,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
Environmental Engineering 130,NP,Number of Records,,,,,,,,,,,,,,,,1,,,,
Environmental Engineering 130,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,2%,,
Environmental Engineering 130,P,Number of Records,,,,,,,,,,,,,,,,,,7,,
Environmental Engineering 130,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
Environmental Engineering 130,W,Number of Records,,,,,,,,,,,,,,6,,,,,,
Environmental Engineering 132,A,% of Total Number of Records along Grade Code Final,,19%,,,,,,,,,,,,,,,,,,
Environmental Engineering 132,A,Number of Records,,4,,,,,,,,,,,,,,,,,,
Environmental Engineering 132,A-,% of Total Number of Records along Grade Code Final,,,10%,,,,,,,,,,,,,,,,,
Environmental Engineering 132,A-,Number of Records,,,2,,,,,,,,,,,,,,,,,
Environmental Engineering 132,B,% of Total Number of Records along Grade Code Final,,,,,19%,,,,,,,,,,,,,,,
Environmental Engineering 132,B,Number of Records,,,,,4,,,,,,,,,,,,,,,
Environmental Engineering 132,B-,% of Total Number of Records along Grade Code Final,,,,,,24%,,,,,,,,,,,,,,
Environmental Engineering 132,B-,Number of Records,,,,,,5,,,,,,,,,,,,,,
Environmental Engineering 132,B+,% of Total Number of Records along Grade Code Final,,,,10%,,,,,,,,,,,,,,,,
Environmental Engineering 132,B+,Number of Records,,,,2,,,,,,,,,,,,,,,,
Environmental Engineering 132,C,% of Total Number of Records along Grade Code Final,,,,,,,,5%,,,,,,,,,,,,
Environmental Engineering 132,C,Number of Records,,,,,,,,1,,,,,,,,,,,,
Environmental Engineering 132,C+,% of Total Number of Records along Grade Code Final,,,,,,,5%,,,,,,,,,,,,,
Environmental Engineering 132,C+,Number of Records,,,,,,,1,,,,,,,,,,,,,
Environmental Engineering 132,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,5%,,,,,,,
Environmental Engineering 132,F,Number of Records,,,,,,,,,,,,,1,,,,,,,
Environmental Engineering 132,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,5%,,,,,,
Environmental Engineering 132,W,Number of Records,,,,,,,,,,,,,,1,,,,,,
Environmental Engineering 140,A,% of Total Number of Records along Grade Code Final,,14%,,,,,,,,,,,,,,,,,,
Environmental Engineering 140,A,Number of Records,,11,,,,,,,,,,,,,,,,,,
Environmental Engineering 140,A-,% of Total Number of Records along Grade Code Final,,,13%,,,,,,,,,,,,,,,,,
Environmental Engineering 140,A-,Number of Records,,,10,,,,,,,,,,,,,,,,,
Environmental Engineering 140,A+,% of Total Number of Records along Grade Code Final,4%,,,,,,,,,,,,,,,,,,,
Environmental Engineering 140,A+,Number of Records,3,,,,,,,,,,,,,,,,,,,
Environmental Engineering 140,B,% of Total Number of Records along Grade Code Final,,,,,13%,,,,,,,,,,,,,,,
Environmental Engineering 140,B,Number of Records,,,,,10,,,,,,,,,,,,,,,
Environmental Engineering 140,B-,% of Total Number of Records along Grade Code Final,,,,,,5%,,,,,,,,,,,,,,
Environmental Engineering 140,B-,Number of Records,,,,,,4,,,,,,,,,,,,,,
Environmental Engineering 140,B+,% of Total Number of Records along Grade Code Final,,,,19%,,,,,,,,,,,,,,,,
Environmental Engineering 140,B+,Number of Records,,,,15,,,,,,,,,,,,,,,,
Environmental Engineering 140,C,% of Total Number of Records along Grade Code Final,,,,,,,,9%,,,,,,,,,,,,
Environmental Engineering 140,C,Number of Records,,,,,,,,7,,,,,,,,,,,,
Environmental Engineering 140,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,8%,,,,,,,,,,,
Environmental Engineering 140,C-,Number of Records,,,,,,,,,6,,,,,,,,,,,
Environmental Engineering 140,C+,% of Total Number of Records along Grade Code Final,,,,,,,8%,,,,,,,,,,,,,
Environmental Engineering 140,C+,Number of Records,,,,,,,6,,,,,,,,,,,,,
Environmental Engineering 140,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,5%,,,,,,,
﻿Environmental Engineering 140,F,Number of Records,,,,,,,,,,,,,4,,,,,,,
Environmental Engineering 140,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
Environmental Engineering 140,W,Number of Records,,,,,,,,,,,,,,1,,,,,,
Environmental Engineering 152,A,% of Total Number of Records along Grade Code Final,,22%,,,,,,,,,,,,,,,,,,
Environmental Engineering 152,A,Number of Records,,28,,,,,,,,,,,,,,,,,,
Environmental Engineering 152,A-,% of Total Number of Records along Grade Code Final,,,16%,,,,,,,,,,,,,,,,,
Environmental Engineering 152,A-,Number of Records,,,21,,,,,,,,,,,,,,,,,
Environmental Engineering 152,A+,% of Total Number of Records along Grade Code Final,7%,,,,,,,,,,,,,,,,,,,
Environmental Engineering 152,A+,Number of Records,9,,,,,,,,,,,,,,,,,,,
Environmental Engineering 152,B,% of Total Number of Records along Grade Code Final,,,,,15%,,,,,,,,,,,,,,,
Environmental Engineering 152,B,Number of Records,,,,,19,,,,,,,,,,,,,,,
Environmental Engineering 152,B-,% of Total Number of Records along Grade Code Final,,,,,,5%,,,,,,,,,,,,,,
Environmental Engineering 152,B-,Number of Records,,,,,,7,,,,,,,,,,,,,,
Environmental Engineering 152,B+,% of Total Number of Records along Grade Code Final,,,,19%,,,,,,,,,,,,,,,,
Environmental Engineering 152,B+,Number of Records,,,,24,,,,,,,,,,,,,,,,
Environmental Engineering 152,C,% of Total Number of Records along Grade Code Final,,,,,,,,2%,,,,,,,,,,,,
Environmental Engineering 152,C,Number of Records,,,,,,,,2,,,,,,,,,,,,
Environmental Engineering 152,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,2%,,,,,,,,,,,
Environmental Engineering 152,C-,Number of Records,,,,,,,,,3,,,,,,,,,,,
Environmental Engineering 152,C+,% of Total Number of Records along Grade Code Final,,,,,,,2%,,,,,,,,,,,,,
Environmental Engineering 152,C+,Number of Records,,,,,,,2,,,,,,,,,,,,,
Environmental Engineering 152,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
Environmental Engineering 152,D-,Number of Records,,,,,,,,,,,,1,,,,,,,,
Environmental Engineering 152,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,1%,,,,,,,,,,
Environmental Engineering 152,D+,Number of Records,,,,,,,,,,1,,,,,,,,,,
Environmental Engineering 152,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,4%,,,,,,,
Environmental Engineering 152,F,Number of Records,,,,,,,,,,,,,5,,,,,,,
