course_name,letter_grade,description,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,IP,NP,NR,P,S,U
Anthropology 113,B-,Number of Records,,,,,,2,,,,,,,,,,,,,,
Anthropology 113,B+,% of Total Number of Records along Grade Code Final,,,,2%,,,,,,,,,,,,,,,,
Anthropology 113,B+,Number of Records,,,,1,,,,,,,,,,,,,,,,
Anthropology 113,C,% of Total Number of Records along Grade Code Final,,,,,,,,3%,,,,,,,,,,,,
Anthropology 113,C,Number of Records,,,,,,,,2,,,,,,,,,,,,
Anthropology 113,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,2%,,,,,,,,,,,
Anthropology 113,C-,Number of Records,,,,,,,,,1,,,,,,,,,,,
Anthropology 113,C+,% of Total Number of Records along Grade Code Final,,,,,,,2%,,,,,,,,,,,,,
Anthropology 113,C+,Number of Records,,,,,,,1,,,,,,,,,,,,,
Anthropology 113,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,2%,,,,,,,,,,
Anthropology 113,D+,Number of Records,,,,,,,,,,1,,,,,,,,,,
Anthropology 113,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,8%,,,,,,,
Anthropology 113,F,Number of Records,,,,,,,,,,,,,5,,,,,,,
Anthropology 113,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,5%,,,,
Anthropology 113,NP,Number of Records,,,,,,,,,,,,,,,,3,,,,
Anthropology 113,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,3%,,
Anthropology 113,P,Number of Records,,,,,,,,,,,,,,,,,,2,,
Anthropology 113,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,3%,,,,,,
Anthropology 113,W,Number of Records,,,,,,,,,,,,,,2,,,,,,
Anthropology 114,A,% of Total Number of Records along Grade Code Final,,26%,,,,,,,,,,,,,,,,,,
Anthropology 114,A,Number of Records,,37,,,,,,,,,,,,,,,,,,
Anthropology 114,A-,% of Total Number of Records along Grade Code Final,,,22%,,,,,,,,,,,,,,,,,
Anthropology 114,A-,Number of Records,,,32,,,,,,,,,,,,,,,,,
Anthropology 114,A+,% of Total Number of Records along Grade Code Final,8%,,,,,,,,,,,,,,,,,,,
Anthropology 114,A+,Number of Records,11,,,,,,,,,,,,,,,,,,,
Anthropology 114,B,% of Total Number of Records along Grade Code Final,,,,,13%,,,,,,,,,,,,,,,
Anthropology 114,B,Number of Records,,,,,18,,,,,,,,,,,,,,,
Anthropology 114,B-,% of Total Number of Records along Grade Code Final,,,,,,5%,,,,,,,,,,,,,,
Anthropology 114,B-,Number of Records,,,,,,7,,,,,,,,,,,,,,
Anthropology 114,B+,% of Total Number of Records along Grade Code Final,,,,12%,,,,,,,,,,,,,,,,
Anthropology 114,B+,Number of Records,,,,17,,,,,,,,,,,,,,,,
Anthropology 114,C,% of Total Number of Records along Grade Code Final,,,,,,,,1%,,,,,,,,,,,,
Anthropology 114,C,Number of Records,,,,,,,,1,,,,,,,,,,,,
Anthropology 114,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,2%,,,,,,,,,,,
Anthropology 114,C-,Number of Records,,,,,,,,,3,,,,,,,,,,,
Anthropology 114,C+,% of Total Number of Records along Grade Code Final,,,,,,,1%,,,,,,,,,,,,,
Anthropology 114,C+,Number of Records,,,,,,,2,,,,,,,,,,,,,
Anthropology 114,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,3%,,,,,,,,,
Anthropology 114,D,Number of Records,,,,,,,,,,,4,,,,,,,,,
Anthropology 114,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,6%,,,,,,,
Anthropology 114,F,Number of Records,,,,,,,,,,,,,9,,,,,,,
Anthropology 114,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
Anthropology 114,W,Number of Records,,,,,,,,,,,,,,3,,,,,,
Anthropology 115,A,% of Total Number of Records along Grade Code Final,,9%,,,,,,,,,,,,,,,,,,
Anthropology 115,A,Number of Records,,5,,,,,,,,,,,,,,,,,,
Anthropology 115,A-,% of Total Number of Records along Grade Code Final,,,17%,,,,,,,,,,,,,,,,,
Anthropology 115,A-,Number of Records,,,9,,,,,,,,,,,,,,,,,
Anthropology 115,A+,% of Total Number of Records along Grade Code Final,4%,,,,,,,,,,,,,,,,,,,
﻿Anthropology 115,A+,Number of Records,2,,,,,,,,,,,,,,,,,,,
Anthropology 115,B,% of Total Number of Records along Grade Code Final,,,,,17%,,,,,,,,,,,,,,,
Anthropology 115,B,Number of Records,,,,,9,,,,,,,,,,,,,,,
Anthropology 115,B-,% of Total Number of Records along Grade Code Final,,,,,,7%,,,,,,,,,,,,,,
Anthropology 115,B-,Number of Records,,,,,,4,,,,,,,,,,,,,,
Anthropology 115,B+,% of Total Number of Records along Grade Code Final,,,,7%,,,,,,,,,,,,,,,,
Anthropology 115,B+,Number of Records,,,,4,,,,,,,,,,,,,,,,
Anthropology 115,C,% of Total Number of Records along Grade Code Final,,,,,,,,9%,,,,,,,,,,,,
Anthropology 115,C,Number of Records,,,,,,,,5,,,,,,,,,,,,
Anthropology 115,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,2%,,,,,,,,,,,
Anthropology 115,C-,Number of Records,,,,,,,,,1,,,,,,,,,,,
Anthropology 115,C+,% of Total Number of Records along Grade Code Final,,,,,,,7%,,,,,,,,,,,,,
Anthropology 115,C+,Number of Records,,,,,,,4,,,,,,,,,,,,,
